participant,task_id,n_explorations,total_duration_s,tonic_mean_uS,tonic_slope,scr_count,scr_rate,scr_amp_mean,scr_amp_sum,bc_mean_uS,tonic_mean_uS_z,tonic_slope_z,scr_count_z,scr_rate_z,scr_amp_mean_z,scr_amp_sum_z,bc_mean_uS_z
P14,task1_5_2,1,219.96,3.3858,-0.00147,7,0.0318,0.2388,1.6715,-1.2306,-1.828253507,0.3377221023,-0.4383972995,-0.7825327141,-1.165795577,-0.8219209603,-0.08241250886
P14,task1_6_2,1,222.49,5.0926,-0.001099,12,0.0539,0.3089,3.7065,-0.8436,-0.8955934033,0.5043869115,0.7945951053,0.6789297914,-0.925349525,-0.3566582361,0.5573083923
P14,task2_2_1,2,313.98,5.5449,-0.000785,9,0.0287,0.3444,3.0999,-1.6078,-0.6484395688,0.6454455372,0.05479966244,-0.987534242,-0.8035829792,-0.4953453951,-0.7059337593
P14,task2_5_1,1,390.78,6.8265,7.00E-05,18,0.0461,0.8607,15.4929,0.2256,0.0518751655,1.029538292,2.274185991,0.1631194953,0.9673485026,2.3380703,2.324723347
P14,task3_3_1,1,223.56,6.7053,-0.001896,7,0.0313,0.5544,3.8807,-1.9134,-0.01435310057,0.146349572,-0.4383972995,-0.8155974767,-0.08327383493,-0.3168308324,-1.211098378
P14,task3_4_2,1,180.82,7.6722,-0.002447,8,0.0442,0.5411,4.3286,-1.1685,0.5139976458,-0.1011768698,-0.1917988185,0.03747339758,-0.1288934141,-0.214427307,0.02024037993
P14,task3_8_2,1,292.51,7.5301,-0.000644,8,0.0273,1.1396,9.1172,-1.3166,0.4363488289,0.7087871493,-0.1917988185,-1.080115577,1.923987647,0.8803918973,-0.2245727091
P14,task3_8_3,1,83.56,8.4384,-0.006682,5,0.0598,0.4711,2.3556,-1.4628,0.932678318,-2.003671391,-0.9315942614,1.06909399,-0.3689964621,-0.6655149506,-0.4662450496
P14,task3_10_1,1,71.82,9.3883,-0.005043,5,0.0696,0.7491,3.7454,-1.309,1.451739621,-1.267381303,-0.9315942614,1.717163336,0.5845556431,-0.3477645162,-0.2120097147
P15,task1_5_2,1,353.51,3.4491,8.10E-05,18,0.0509,0.7573,13.6312,-0.0037,-1.966466235,0.5368203628,-0.04256463384,0.5802875134,-1.777841778,-0.9342614106,0.2200868288
P15,task1_6_2,3,512.51,4.6385,0.000288,26,0.0507,1.2474,32.4321,-0.3008,-0.9261059206,0.7918168788,0.7235987753,0.5388384053,-0.984024545,-0.003662271291,-0.2615321019
P15,task2_2_1,1,816.96,5.1246,-1.50E-05,35,0.0428,1.4373,50.3055,-0.4773,-0.5009174652,0.418561109,1.58553261,-1.098401365,-0.6764426382,0.8810278583,-0.5476503829
P15,task2_5_1,1,632.97,5.804,0.000119,29,0.0458,2.3196,67.2688,-0.9375,0.09334922204,0.5836313174,1.010910054,-0.4766647431,0.7526227454,1.720670236,-1.2936653
P15,task3_3_1,2,157.01,6.4027,1.70E-05,8,0.051,1.6318,13.0546,-0.662,0.6170281529,0.4579808602,-1.000268895,0.6010120674,-0.3614100902,-0.9628017179,-0.8470614111
P15,task3_4_2,3,419.62,5.7753,-0.000146,17,0.0405,2.509,42.6536,-0.2062,0.06824552183,0.2571865022,-0.13833506,-1.575066108,1.0593948,0.5022772902,-0.1081791876
P15,task3_8_2,1,465.06,6.243,-0.000432,21,0.0452,2.1934,46.0604,0.2897,0.477339619,-0.09512752476,0.2447466446,-0.6010120674,0.5482160227,0.6709056616,0.6957078125
P15,task3_8_3,1,89.67,7.1968,-0.00235,5,0.0558,2.5208,12.6041,1.1973,1.311622172,-2.457848866,-1.287580174,1.595790662,1.078507314,-0.9851003798,2.166987993
P15,task3_10_1,1,139.53,6.6415,-0.000755,7,0.0502,2.0778,14.5445,-0.1547,0.8259049337,-0.4930206391,-1.096039321,0.435215635,0.360978169,-0.8890552665,-0.02469425012
P16,task1_5_2,4,500.44,9.2812,0.001086,40,0.0799,1.9098,76.394,1.2754,-2.309605816,1.371622616,1.628580005,1.199553968,-0.5423647657,0.7251733848,2.081985139
P16,task1_6_2,1,327.59,11.883,-0.001155,26,0.0794,2.704,70.305,0.1929,-0.2347326433,-0.1604290283,0.4143724273,1.169262201,0.5757141061,0.5423027245,0.8349214559
P16,task2_2_1,2,386.62,12.1563,-0.000604,26,0.0672,2.3189,60.2909,-1.2762,-0.01678244032,0.2162601533,0.4143724273,0.4301430895,0.03356833234,0.2415497143,-0.8575138849
P16,task2_5_1,1,528.23,13.7252,-0.00072,20,0.0379,3.2464,64.9273,-0.0465,1.234377726,0.1369571677,-0.1060022488,-1.344954449,1.339307634,0.3807945048,0.5591274183
P16,task3_3_1,3,457.01,12.5016,-0.000334,32,0.07,3.4276,109.6817,-0.6612,0.2585860379,0.4008446887,0.9347471035,0.5997769839,1.594401932,1.724901366,-0.14902043
P16,task3_4_2,1,347.62,13.3997,-0.000503,20,0.0575,1.8158,36.3163,-0.8046,0.9747992737,0.2853084425,-0.1060022488,-0.1575171877,-0.6746984523,-0.478478358,-0.3142203673
P16,task3_8_2,1,254.31,12.4312,6.70E-05,17,0.0668,2.1309,36.2256,-1.2754,0.2024437244,0.6749869062,-0.3661895869,0.405909676,-0.231099041,-0.481202347,-0.8565922674
P16,task3_8_3,1,98.1,12.2423,-0.00412,4,0.0408,1.2605,5.0421,-1.3849,0.05180049953,-2.187440686,-1.493668052,-1.169262201,-1.456452667,-1.417734985,-0.9827386631
P16,task3_10_1,1,144.9,11.9756,-0.002,6,0.0414,1.8416,11.0498,-0.8061,-0.1608863616,-0.7381102597,-1.320209827,-1.132912081,-0.6383770788,-1.237306004,-0.3159484001
P17,task1_5_2,1,506.77,6.6304,0.001064,44,0.0868,0.7187,31.6238,1.2934,-2.040689396,0.9643435375,1.143147991,0.1551466795,-1.054457905,0.3697452818,1.696154141
P17,task1_6_2,1,416.91,8.8994,0.00059,34,0.0816,1.0491,35.6695,0.4374,-0.7183525058,0.7778317938,0.5414911538,-0.1906087777,0.438938945,0.5761309154,0.9110938516
P17,task2_2_1,1,341.72,9.0587,-0.000607,30,0.0878,0.6684,20.0514,-1.9449,-0.6255150151,0.3068306182,0.3008284188,0.2216381136,-1.281812207,-0.2206042516,-1.273776624
P17,task2_5_1,1,638.14,10.6228,0.000526,53,0.0831,1.2744,67.5453,0.4686,0.2860174351,0.7526487735,1.684639145,-0.09087162656,1.457287342,2.202229534,0.9397081986
P17,task3_3_1,1,198.05,10.4073,-0.003095,14,0.0707,0.8434,11.8073,-1.6022,0.1604274837,-0.6721592939,-0.6618225214,-0.915365409,-0.4908181132,-0.6411652923,-0.95947737
P17,task3_4_2,1,208.73,10.4259,-0.001088,17,0.0814,0.8867,15.0744,-1.2766,0.1712672661,0.1175644817,-0.4813254701,-0.2039070645,-0.2951035745,-0.4744988307,-0.6608609796
P17,task3_8_2,2,263.63,11.0705,0.000603,22,0.0834,1.26,27.7192,-1.2561,0.5469298307,0.7829470948,-0.1804970513,-0.07092419634,1.392199828,0.170557664,-0.6420598863
P17,task3_8_3,1,60.78,11.8326,-0.004576,4,0.0658,1.0596,4.2385,-0.4591,0.9910695151,-1.254910122,-1.263479359,-1.241173436,0.4863985906,-1.027276864,0.08888993902
P17,task3_10_1,1,58.54,12.2406,-0.005898,7,0.1196,0.8076,5.653,-0.6647,1.228845386,-1.775096884,-1.082982308,2.336065717,-0.652632905,-0.9551181572,-0.09967127061
P18,task1_5_2,1,280.02,2.7648,0.000144,22,0.0786,0.5285,11.6271,-0.2317,0.3698770338,0.9308589436,1.429543225,0.7796979352,-0.9594430094,-0.2022218795,0.9444466361
P18,task1_6_2,2,132.5,2.8655,-0.002798,7,0.0528,0.3204,2.2426,-0.6311,0.6049538611,-0.5697366795,-0.6456001663,-0.3399425135,-1.215348222,-1.128491372,-0.4385769017
P18,task2_2_1,1,241.21,2.6489,-0.0006,10,0.0415,0.4643,4.6426,-0.5297,0.09931691181,0.5513745304,-0.230571488,-0.8303276712,-1.038391182,-0.8916064254,-0.08745375011
